               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11447,            0.031281,            0.045134,                   0,                   0,                   0,                   0,            0.067399,            0.021732,            0.029581,               8e-05,               8e-05,             0.09928
                   1,             0.11115,            0.029487,            0.047836,           0.0011511,            0.083333,           0.0006528,          0.00019584,            0.064885,             0.01994,            0.029953,             0.00017,             0.00017,             0.09847
                   2,            0.096722,            0.030006,            0.044183,           0.0015755,                0.25,          0.00082757,          0.00023297,            0.063962,            0.018378,            0.030156,          0.00025998,          0.00025998,             0.09766
                   3,            0.083701,            0.027634,            0.038195,           0.0029176,             0.33333,            0.002066,          0.00039144,            0.062642,            0.016866,            0.030078,          0.00034993,          0.00034993,             0.09685
                   4,            0.074884,            0.028265,            0.037898,           0.0060591,                 0.5,           0.0048218,           0.0011665,            0.059766,            0.015761,             0.02978,          0.00043985,          0.00043985,             0.09604
                   5,            0.078777,            0.028526,            0.036276,            0.040303,                 0.5,            0.041175,           0.0059774,            0.057304,            0.014532,            0.029774,          0.00052971,          0.00052971,             0.09523
                   6,            0.074842,            0.032054,            0.036673,            0.021654,             0.91667,            0.030525,           0.0074435,            0.054745,            0.013579,            0.030354,          0.00061951,          0.00061951,             0.09442
                   7,            0.064046,            0.029847,            0.030173,            0.031619,             0.91667,            0.042781,            0.010488,            0.051873,              0.0129,            0.030772,          0.00070924,          0.00070924,            0.093609
                   8,            0.063649,            0.027752,            0.031448,             0.04768,                   1,            0.065976,              0.0219,            0.049174,            0.012378,            0.031368,          0.00079888,          0.00079888,            0.092799
                   9,            0.057864,            0.029187,            0.027599,            0.080281,             0.66667,             0.11716,            0.022055,            0.047915,            0.011794,            0.031833,          0.00088842,          0.00088842,            0.091988
                  10,            0.063322,            0.025506,            0.031275,             0.14047,             0.91667,             0.19116,            0.046927,            0.047962,            0.011331,            0.032584,          0.00097785,          0.00097785,            0.091178
                  11,            0.055475,            0.026287,            0.028587,             0.14548,             0.83333,             0.22003,            0.050495,            0.046836,            0.010932,            0.033057,           0.0010672,           0.0010672,            0.090367
                  12,            0.054664,            0.024697,            0.028421,             0.17981,                0.75,             0.19248,            0.042314,            0.045141,            0.010518,            0.033444,           0.0011563,           0.0011563,            0.089556
                  13,            0.053526,            0.023913,            0.023915,              0.2143,             0.66161,             0.28452,            0.072507,            0.042931,            0.010644,            0.034118,           0.0012454,           0.0012454,            0.088745
                  14,            0.057505,            0.024053,            0.027051,             0.17589,             0.91667,             0.24636,            0.049538,            0.043144,            0.010718,            0.035033,           0.0013342,           0.0013342,            0.087934
                  15,            0.054279,            0.023915,            0.027565,             0.28675,             0.91667,             0.38345,            0.068104,            0.043579,           0.0099322,            0.035246,            0.001423,            0.001423,            0.087123
                  16,            0.056918,            0.022891,            0.028845,             0.34608,             0.91667,             0.49574,             0.07357,            0.043697,           0.0088668,            0.034472,           0.0015115,           0.0015115,            0.086311
                  17,             0.05124,            0.020386,            0.026536,             0.43631,             0.90599,             0.47426,             0.11194,            0.039128,           0.0087694,            0.034383,           0.0015998,           0.0015998,              0.0855
                  18,            0.047611,            0.020653,            0.021243,             0.21435,             0.99734,             0.37804,             0.14725,            0.041308,           0.0087346,            0.035149,            0.001688,            0.001688,            0.084688
                  19,            0.055787,             0.01964,             0.02679,             0.26517,                   1,             0.48179,             0.16361,            0.037813,           0.0088723,            0.033516,           0.0017759,           0.0017759,            0.083876
                  20,            0.051735,            0.019824,            0.022201,             0.35283,              0.8308,              0.4975,             0.16256,            0.034641,           0.0091068,            0.032811,           0.0018636,           0.0018636,            0.083064
                  21,             0.04729,            0.017898,             0.01973,             0.34586,             0.83333,              0.2902,            0.096099,            0.034153,           0.0089739,            0.032587,            0.001951,            0.001951,            0.082251
                  22,            0.056095,            0.020775,            0.022752,             0.23514,             0.83333,             0.38674,             0.19316,            0.036334,           0.0075616,            0.033361,           0.0020382,           0.0020382,            0.081438
                  23,            0.047938,            0.018722,            0.022453,             0.35151,             0.83333,             0.50967,             0.27661,            0.030583,            0.007298,            0.032058,           0.0021252,           0.0021252,            0.080625
                  24,            0.049681,            0.019995,            0.023456,             0.37784,                0.91,              0.5906,             0.36963,            0.026796,           0.0077399,            0.031231,           0.0022119,           0.0022119,            0.079812
                  25,            0.046968,             0.01896,             0.01996,             0.28658,             0.91667,             0.65147,             0.23126,            0.033911,           0.0071651,              0.0306,           0.0022982,           0.0022982,            0.078998
                  26,            0.051948,            0.019521,             0.02259,                   1,             0.49799,             0.89843,             0.41473,            0.026649,           0.0066286,             0.02961,           0.0023843,           0.0023843,            0.078184
                  27,            0.052685,            0.015809,            0.020731,                   1,             0.33253,             0.78167,             0.43639,            0.030742,           0.0060291,            0.029393,           0.0024701,           0.0024701,             0.07737
                  28,            0.050429,            0.017174,            0.023045,             0.54073,              0.9055,             0.95864,             0.34702,            0.026921,           0.0062362,            0.030615,           0.0025556,           0.0025556,            0.076556
                  29,            0.051124,            0.018855,            0.024706,             0.44509,             0.90839,             0.83083,             0.37698,            0.027194,           0.0055551,             0.03144,           0.0026408,           0.0026408,            0.075741
                  30,            0.049076,            0.017303,            0.023619,             0.46115,             0.90594,             0.80488,             0.51591,            0.021747,           0.0056459,            0.031033,           0.0027256,           0.0027256,            0.074926
